,name,custlabel,arh,top_3,role1,role2,role3
33,Quentin Tarantino,MW,0.37,"Film Editing by, Cinematography by, Production",Film Editing by,Cinematography by,Production
34,Ryan Coogler,MB,0.367,"Production, Cinematography by, Music",Production,Cinematography by,Music
35,Mira Nair,FA,0.36,"Film Editing by, Music, Cinematography by",Film Editing by,Music,Cinematography by
36,Lynn Shelton,FW,0.358,"Special Effects by, Cinematography by, Production",Special Effects by,Cinematography by,Production
37,James Wan,MAH,0.351,"Music, Production, Film Editing by",Music,Production,Film Editing by
38,Darren Aronofsky,MW,0.349,"Cinematography by, Film Editing by, Music",Cinematography by,Film Editing by,Music
39,Francis Ford Coppola,MW,0.346,"Production, Film Editing by, Music",Production,Film Editing by,Music
40,Roland Emmerich,MWH,0.345,"Music, Cinematography by, Production",Music,Cinematography by,Production
41,Terrence Malick,MW,0.341,"Writing Credits, Production, Film Editing by",Writing Credits,Production,Film Editing by
42,Greta Gerwig,FW,0.337,"Production, Writing Credits, Film Editing by",Production,Writing Credits,Film Editing by
43,Adam McKay,MW,0.337,"Production, Film Editing by, Music",Production,Film Editing by,Music
44,Ron Howard,MWH,0.334,"Film Editing by, Music, Production",Film Editing by,Music,Production
45,Sam Raimi,MWH,0.328,"Music, Film Editing by, Costume Design",Music,Film Editing by,Costume Design
46,Rian Johnson,MW,0.327,"Cinematography by, Music, Film Editing by",Cinematography by,Music,Film Editing by
47,Jon Favreau,MWH,0.323,"Costume Design, Film Editing by, Music",Costume Design,Film Editing by,Music
48,Paul Thomas Anderson,MW,0.317,"Costume Design, Cinematography by, Film Editing by",Costume Design,Cinematography by,Film Editing by
49,Justin Lin,MA,0.311,"Music, Costume Design, Film Editing by",Music,Costume Design,Film Editing by
50,Sofia Coppola,FW,0.294,"Production, Film Editing by, Cinematography by",Production,Film Editing by,Cinematography by
51,Oliver Stone,MW,0.293,"Film Editing by, Cinematography by, Production",Film Editing by,Cinematography by,Production
52,Ang Lee,MA,0.278,"Film Editing by, Sound Department, Cinematography by",Film Editing by,Sound Department,Cinematography by
53,James Gray,MW,0.271,"Production, Film Editing by, Music",Production,Film Editing by,Music
54,Spike Jonze,MW,0.271,"Costume Design, Production, Film Editing by",Costume Design,Production,Film Editing by
55,Julie Taymor,FW,0.263,"Music, Film Editing by, Production",Music,Film Editing by,Production
56,Antoine Fuqua,MB,0.254,"Music, Cinematography by, Film Editing by",Music,Cinematography by,Film Editing by
57,Jim Jarmusch,MW,0.254,"Film Editing by, Cinematography by, Music",Film Editing by,Cinematography by,Music
58,M. Night Shyamalan,MA,0.243,"Music, Costume Design, Film Editing by",Music,Costume Design,Film Editing by
59,Cameron Crowe,MW,0.24,"Costume Design, Film Editing by, Music",Costume Design,Film Editing by,Music
60,Nancy Meyers,FW,0.24,"Production, Music, Film Editing by",Production,Music,Film Editing by
61,Brian De Palma,MW,0.239,"Film Editing by, Music, Cinematography by",Film Editing by,Music,Cinematography by
62,Taika Waititi,MI,0.239,"Costume Design, Music, Production",Costume Design,Music,Production
63,Guillermo del Toro,ML,0.232,"Cinematography by, Film Editing by, Costume Design",Cinematography by,Film Editing by,Costume Design
64,James Cameron,MWH,0.221,"Film Editing by, Music, Cinematography by",Film Editing by,Music,Cinematography by
65,Jordan Peele,MB,0.221,"Music, Production, Film Editing by",Music,Production,Film Editing by
66,Miguel Arteta,ML,0.22,"Cinematography by, Film Editing by, Music",Cinematography by,Film Editing by,Music
67,Nicole Holofcener,FW,0.217,"Writing Credits, Film Editing by, Music",Writing Credits,Film Editing by,Music
68,Charles Burnett,MB,0.216,"Special Effects by, Music, Sound Department",Special Effects by,Music,Sound Department
69,David O. Russell,MW,0.216,"Production, Film Editing by, Costume Design",Production,Film Editing by,Costume Design
70,Sterlin Harjo,MI,0.213,"Music, Cinematography by, Film Editing by",Music,Cinematography by,Film Editing by
71,Amy Heckerling,FW,0.213,"Music, Film Editing by, Costume Design",Music,Film Editing by,Costume Design
72,David Fincher,MW,0.209,"Music, Sound Department, Production",Music,Sound Department,Production
73,Chris Columbus,MWH,0.207,"Music, Film Editing by, Production",Music,Film Editing by,Production
74,Niki Caro,FW,0.2,"Film Editing by, Production, Music",Film Editing by,Production,Music
75,Sarah Polley,FW,0.2,"Cinematography by, Music, Film Editing by",Cinematography by,Music,Film Editing by
76,Marielle Heller,FW,0.197,"Music, Film Editing by, Cinematography by",Music,Film Editing by,Cinematography by
77,Noah Baumbach,MW,0.193,"Costume Design, Cinematography by, Film Editing by",Costume Design,Cinematography by,Film Editing by
78,Mike Mills,MW,0.185,"Writing Credits, Costume Design, Music",Writing Credits,Costume Design,Music
79,Andrea Arnold,FW,0.181,"Production, Cinematography by, Film Editing by",Production,Cinematography by,Film Editing by
80,Wayne Wang,MA,0.179,"Film Editing by, Cinematography by, Music",Film Editing by,Cinematography by,Music
81,Anne Fletcher,FW,0.172,"Production, Cinematography by, Sound Department",Production,Cinematography by,Sound Department
82,Kathryn Bigelow,FW,0.171,"Production, Film Editing by, Writing Credits",Production,Film Editing by,Writing Credits
83,Pablo Larraín,ML,0.167,"Production, Music, Sound Department",Production,Music,Sound Department
84,Gina Prince-Bythewood,FB,0.166,"Film Editing by, Costume Design, Cinematography by",Film Editing by,Costume Design,Cinematography by
85,Jon M. Chu,MA,0.163,"Production, Cinematography by, Film Editing by",Production,Cinematography by,Film Editing by
86,Dee Rees,FBQ,0.163,"Film Editing by, Music, Production",Film Editing by,Music,Production
87,Denis Villeneuve,MW,0.162,"Costume Design, Film Editing by, Production",Costume Design,Film Editing by,Production
88,Michael Mann,MW,0.161,"Film Editing by, Music, Cinematography by",Film Editing by,Music,Cinematography by
89,Catherine Hardwicke,FW,0.158,"Cinematography by, Costume Design, Music",Cinematography by,Costume Design,Music
90,Ava DuVernay,FB,0.15,"Film Editing by, Music, Cinematography by",Film Editing by,Music,Cinematography by
91,Lee Daniels,MBQ,0.136,"Cinematography by, Film Editing by, Music",Cinematography by,Film Editing by,Music
92,Jon Watts,MWH,0.135,"Writing Credits, Music, Film Editing by",Writing Credits,Music,Film Editing by
93,Kasi Lemmons,FB,0.13,"Film Editing by, Music, Production",Film Editing by,Music,Production
94,Todd Haynes,MWQ,0.129,"Film Editing by, Cinematography by, Costume Design",Film Editing by,Cinematography by,Costume Design
95,Cary Joji Fukunaga,MA,0.119,"Cinematography by, Music, Film Editing by",Cinematography by,Music,Film Editing by
96,Patty Jenkins,FW,0.109,"Production, Costume Design, Special Effects by",Production,Costume Design,Special Effects by
97,Karyn Kusama,FA,0.108,"Writing Credits, Film Editing by, Music",Writing Credits,Film Editing by,Music
98,F. Gary Gray,MB,0.107,"Sound Department, Film Editing by, Costume Design",Sound Department,Film Editing by,Costume Design
99,Mary Harron,FW,0.069,"Writing Credits, Production, Music",Writing Credits,Production,Music
100,Chloé Zhao,FA,0.064,"Cinematography by, Sound Department, Makeup Department",Cinematography by,Sound Department,Makeup Department
